venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
Los Angeles Harbour,Existing,Sailing,In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
"Los Angeles Olympic
Auditorium",Existing,"Boxing, weightlifting,
wrestling",In use (repurposed),1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
"Los Angeles Police Pistol
Range",Existing,Shooting,In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Riviera Country Club,Existing,"Equestrian (eventing,
dressage), modern
pentathlon (equestrian)",In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
"Sunset Fields Golf Club of
Los Angeles",Existing,"Modern pentathlon
(running)",Not in use (demolished),1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
"Long Beach Marine
Stadium",New build,Rowing,In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Swimming stadium,New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Coast Highway,Temporary,Cycling (road),Dismantled (temporary),1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Griffith Park area,Temporary,Race walk,Dismantled (temporary),1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Inglewood area,Temporary,Marathon,Dismantled (temporary),1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
"Los Angeles Olympic
Village",Temporary,Athlete accommodation,Dismantled (temporary),1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Grünau Regatta Course,Existing,"Rowing, canoe sprint",In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
Avus Motor Road,Existing,"Athletics, cycling (road)",Not in use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Mommsen Stadium
(Mommsenstadion)",Existing,Football,In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Post Stadium
(Poststadion)",Existing,Football,In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
Wannsee Golf Course,Existing,"Modern pentathlon
(running)",In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Shooting Ranges at
Wannsee",Existing,Shooting,In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Tennis Courts and Tennis
Stadium",Existing,"Basketball, fencing",In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Police Stadium
(Polizeistadion)",Existing,Handball,"Not in use
(demolished)",1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Stadion am
Gesundbrunnen
(Herta-BSC ground)",Existing,Football,"Not in use
(demolished)",1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Shooting Ranges
at Ruhleben",Existing,"Modern pentathlon
(shooting)","Not in use
(demolished)",1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Gymnasium and Cupola
Hall (Haus des Deutschen
Sports)",New build,"Fencing, modern
pentathlon (fencing)",In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Hockey Stadium
(Hockeystadion)",New build,Hockey,In use (rebuilt),1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Dietrich Eckart Open Air
Theatre",New build,Artistic gymnastics,In use (repurposed),1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
May Field (Mai-feld),New build,"Equestrian (dressage),
polo",In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
Berlin Olympic Stadium,New build,"Athletics, football,
handball, equestrian
(jumping), Opening and
Closing Ceremonies",In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Berlin Olympic
Swimming Stadium",New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
Deutschlandhalle,New build,"Boxing, wrestling,
weightlifting","Not in use
(demolished)",1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
Berlin Olympic Village,New build,Athlete accommodation,Not in use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Cycling Stadium
(Olympia-Radstadion)",Temporary,Cycling (track),Dismantled (temporary),1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
Kiel Bay,Existing,Sailing,In use,1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
"Döberitz Military Drill
Grounds",Existing,"Modern pentathlon
(equestrian), equestrian
(cross-country)","Not in use
(demolished)",1936,Berlin,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44
